Acromantis satsumensis
Acromantis siporana
Acromyrmex ambiguus
Actinauge abyssorum
Actinauge bocki
Actinauge granulata
Actinauge nexilis
Actinauge nodosa var. coronata
Actinauge verrillii
Actineria dendrophora
Actinernus aurelia
Actinernus michaelsarsi
Actinernus nobilis
Actinernus obesa
Actinernus plebeia
Actinernus saginata
Actinia achates
Actinia adherens
Actinia alcyonidium
Actinia annulata
Actinia arboreum
Actinia artemisia
Actinia aurantiaca
Actinia aurora
Actinia ballii
Actinia capensis
Actinia cari
Actinia cavernata
Actinia chilensis
Actinia clavus
Actinia clematis
Actinia coccinea
Actinia coeruleus
Actinia crispus
Actinia crucifer
Actinia cruentata
Actinia crysanthellum
Actinia decora
Actinia decorata
Actinia diadema
Actinia diaphana
Actinia digitata
Actinia elegans
Actinia elongata
Actinia equina
Actinia erythrosoma
Actinia felina
Actinia flosculifera
Actinia granulifera
Actinia helianthus
Actinia impatiens
Actinia infecunda
Actinia inornata
Actinia intestinalis
Actinia kraemeri
Actinia laceratus
Actinia melanaster
Actinia mutabilis
Actinia niveus
Actinia nodosa
Actinia ocellata
Actinia olivacea
Actinia parasitica
Actinia parvitentaculata
Actinia pedunculatus
Actinia pretiosa
Actinia prolifera
Actinia pustulata
Actinia quadricolor
Actinia rapiformis
Actinia sanctae helenae
Actinia senile
Actinia sipunculoides
Actinia stellula
Actinia sulcata
Actinia tapetum
Actinia tenebrosa
Actinia tricolor
Actinia troglodytes
Actinia tuberculosa
Actinia ultramarina
Actinia undatus
Actinia verrucosa
Actinia viduatus
Actinia villosa
Actinia xanthogrammica
Actinioides africana
Actinioides ambonensis
Actinioides dixoniana
Actinioides papuensis
Actinioides rapanuiensis
Actinioides spenceri
Actinioides sultana
Actinodendron hansingorum
Actinodendron loligo
Actinodendron plumosum
Actinoides haddoni
Actinoporus elegans
Actinoporus elongatus
Actinopsis rosea
Actinostella formosa
Actinostephanus haeckeli
Actinostola carlgreni
Actinostola clubbi
Actinostola excelsa
Actinostola georgiana
Actinostola intermedia
Actinostola kerguelensis
Actinostola pergamentacea
Actinostola spetsbergensis
Actinothoe californica
Actinothoe californicus
Adamsia fusca
Adamsia involvens
Adamsia sociabilis
Addax nasomaculatus
Adelomyrmex betoi
Adelomyrmex biroi
Adelomyrmex boltoni
Adelomyrmex brevispinosus
Adelomyrmex costatus
Adelomyrmex cristiani
Adelomyrmex foveolatus
Adelomyrmex grandis
Adelomyrmex hirsutus
Adelomyrmex laevigatus
Adelomyrmex longinodus
Adelomyrmex longinoi
Adelomyrmex mackayi
Adelomyrmex micans
Adelomyrmex microps
Adelomyrmex minimus
Adelomyrmex myops
Adelomyrmex robustus
Adelomyrmex samoanus
Adelomyrmex silvestrii
Adelomyrmex striatus
Adelomyrmex tristani
Adelomyrmex vaderi
Adesmia clade
Adetomyrma venatrix
Adhesisagitta hispida
Adicophasma spinosa
Adinolepis apodema
Adinolepis eumana
Adinolepis mathesonae
Adinolepis scalena
Adinolepis youanga
Adinopsis africana
Adinopsis angusta
Adinopsis australis
Adinopsis bicornis
Adinopsis braziliensis
Adinopsis cinnamomea
Adinopsis cuspidata
Adinopsis deckerti
Adinopsis devroeyi
Adinopsis ferruginea
Adinopsis flavicornis
Adinopsis groehni
Adinopsis hammondi
Adinopsis maraisi
Adinopsis mmabolela
Adinopsis myllaenoides
Adinopsis ndumu
Adinopsis nepalensis
Adinopsis rufobrunnea
Adinopsis schoutedeni
Adlerzia froggatti
Admestina archboldi
Admestina tibialis
Admestina wheeleri
Adoxa moschatellina
Adrimus aenescens
Adrimus affinis
Adrimus balli
Adrimus claripes
Adrimus creparus
Adrimus elytralis
Adrimus fuscipes
Adrimus geminatus
Adrimus irideus
Adrimus latibasis
Adrimus longior
Adrimus matoanus
Adrimus microderus
Adrimus olivaceus
Adrimus paulensis
Adrimus proximus
Adrimus rufangulus
Adrimus suturalis
Adrimus uruguaicus
Adrimus ventralis
Adrimus virens
Adrimus viridescens
Aenetus arfaki
Aenetus astathes
Aenetus blackburnii
Aenetus cohici
Aenetus crameri
Aenetus dulcis
Aenetus eugyna
Aenetus eximia
Aenetus hampsoni
Aenetus lewinii
Aenetus ligniveren
Aenetus marginatus
Aenetus mirabilis
Aenetus montanus
Aenetus ombraloma
Aenetus ramsayi
Aenetus scotti
Aenetus scripta
Aenetus sordida
Aenetus splendens
Aenetus tegulatus
Aenetus tephroptilus
Aenetus toxopeusi
Aenetus virescens
Aenictogiton attenuatus
Aenictogiton bequaerti
Aenictogiton elongatus
Aenictogiton emeryi
Aenictogiton fossiceps
Aenictogiton schoutedeni
Aenictogiton sulcatus
Aenictus abeillei
Aepyceros melampus
Aepypodius arfakianus
Aepypodius bruijnii
Aeria elara
Aeria eurimedia
Aeria olena
Aethalochroa affinis
Aethalochroa ashmoliana
Aethalochroa insignis
Aethalochroa simplicipes
Aethalochroa spinipes
Aextoxicon punctatum
Afrauropus occiduus
Afrevania leroyi
African golden moles
Afrololigo mercatoris
Afrotheora argentimaculata
Afrotheora brevivalva
Afrotheora flavimaculata
Afrotheora jordani
Afrotheora minirhodaula
Afrotheora rhodaula
Afrotheora thermodes
Afroxyidris crigensis
Agaricostilbomycetes incertae sedis
Agassa cyanea
Agatasa calydonia
Agathiphaga queenslandensis
Agathiphaga vitiensis
Agavenema sp.
Agdestis clematidea
Agelaioides badius
Agelaioides oreopsar
Agelaius assimilis
Agelaius humeralis
Agelaius phoeniceus
Agelaius tricolor
Agelaius xanthomus
Agelasticus cyanopus
Agelasticus thilius
Agelasticus xanthophthalmus
Aglaophyton major
Aglyptinus s.l.
Agonica ovalipennis
Agonica simsoni
Agonica victoriensis
Agraulomyrmex meridionalis
Agraulomyrmex wilsoni
Agrionopsis brachyptera
Agrionopsis congica
Agrionopsis distanti
Agrionopsis modesta
Agroecomyrmex duisburgi
Aidanosagitta alvarinoae
Aidanosagitta bedfordi
Aidanosagitta crassa
Aidanosagitta delicata
Aidanosagitta demipenna
Aidanosagitta erythraea
Aidanosagitta guileri
Aidanosagitta johorensis
Aidanosagitta neglecta
Aidanosagitta oceania
Aidanosagitta ophicephala
Aidanosagitta regularis
Aidanosagitta septata
Aidanosagitta tropica
Aillutticus brutus
Aillutticus nitens
Aillutticus pinquidor
Aillutticus rotundatus
Aiptasia californica
Aiptasia carnea
Aiptasia insignis
Aiptasia leiodactyla
Aiptasia lucida
Aiptasia minima
Aiptasia parva
Aiptasia peruviana
Aiptasia pulchella
Aiptasia saxicola
Aiptasia sp.? (tagetes)
Aiptasioides prima
Aiptasiomorpha elongata
Aiptasiomorpha paxi
Akodon sensu stricto
Alalomantis coxalis
Alalomantis muta
Albertosaurus sarcophagus
Alcelaphus buselaphus
Alectrosaurus olseni
Alectura lathami
Aleochara albopila
Aleochara angusticollis
Aleochara argentina
Aleochara asperata
Aleochara bilineata
Aleochara bimaculata
Aleochara binotata
Aleochara bipustulata
Aleochara bisolata
Aleochara brundini
Aleochara brunneipennis
Aleochara comorensis
Aleochara composita
Aleochara curtidens
Aleochara densissima
Aleochara depressa
Aleochara duplicata
Aleochara fenyesi
Aleochara freyi
Aleochara fucicola
Aleochara gracilis
Aleochara granulicauda
Aleochara grisea
Aleochara hluhluwe
Aleochara horni
Aleochara ituriensis
Aleochara javana
Aleochara lindbergi
Aleochara lineatocollis
Aleochara littoralis
Aleochara lobata
Aleochara lucifuga
Aleochara mutare
Aleochara notula
Aleochara nubis
Aleochara obscurella
Aleochara ocularis
Aleochara opacella
Aleochara pacifica
Aleochara pamirensis
Aleochara pauxilla
Aleochara phycophila
Aleochara polychroma
Aleochara puetzi
Aleochara punctatella
Aleochara reinigi
Aleochara robusta
Aleochara salsipotens
Aleochara solieri
Aleochara squalithorax
Aleochara sublaevipennis
Aleochara suffusa
Aleochara sulcicollis
Aleochara trisulcata
Aleochara valida
Aleochara verna
Aleochara wickhami
Aleochara zerchei
Alfredistia reticulata
Algiachroa woodfordi
Alicia beebei
Alicia mirabilis
Alicia rhadina
Alicia sansibarensis
Alicia uruguayensis
Alioramus remotus
Allancastria caucasica
Allancastria cerisy
Allancastria cretica
Allancastria deyrollei
Allancastria louristana
Allantactis parasitica
Allocapnia aurora
Allocapnia brooksi
Allocapnia cunninghami
Allocapnia curiosa
Allocapnia forbesi
Allocapnia frisoni
Allocapnia frumi
Allocapnia fumosa
Allocapnia granulata
Allocapnia harperi
Allocapnia illinoensis
Allocapnia indianae
Allocapnia jeanae
Allocapnia loshada
Allocapnia malverna
Allocapnia maria
Allocapnia minima
Allocapnia mohri
Allocapnia mystica
Allocapnia nivicola
Allocapnia ohioensis
Allocapnia oribata
Allocapnia ozarkana
Allocapnia pechumani
Allocapnia peltoides
Allocapnia perplexa
Allocapnia polemistis
Allocapnia pygmaea
Allocapnia recta
Allocapnia rickeri
Allocapnia sandersoni
Allocapnia simmonsi
Allocapnia smithi
Allocapnia stannardi
Allocapnia tennessa
Allocapnia unzickeri
Allocapnia virginiana
Allocapnia vivipara
Allocapnia warreni
Allocapnia wrayi
Allocapnia zekia
Allocapnia zola
Allocebus trichotis
Allodinopsis howdeni
Allodinopsis pecki
Alloformica aberrans
Alloformica flavicornis
Alloformica nitidior
Alloformica obscurior
Alloiomma changweiensis
