Hybomys trivirgatus
Hybomys univittatus
Hydromys chrysogaster
Hydromys habbema
Hydromys hussoni
Hydromys neobrittanicus
Hydromys shawmayeri
Xeromys myoides
Desmomys harringtoni
Diomys crumpi
Diplothrix legatus
Echiothrix leucura
Margaretamys beccarii
Margaretamys elegans
Margaretamys parvus
Melasmothrix naso
Tateomys macrocercus
Tateomys rhinogradoides
Eropeplus canus
Lenomys meyeri
Golunda ellioti
Grammomys aridulus
Grammomys buntingi
Grammomys caniceps
Grammomys cometes
Grammomys dolichurus
Grammomys dryas
Grammomys gigas
Grammomys ibeanus
Grammomys macmillani
Grammomys minnae
Grammomys rutilans
Thallomys loringi
Thallomys nigricauda
Thallomys paedulcus
Thallomys shortridgei
Hadromys humei
Heimyscus fumosus
Hylomyscus aeta
Hylomyscus alleni
Hylomyscus baeri
Hylomyscus carillus
Hylomyscus denniae
Hylomyscus parvus
Hylomyscus stella
Kadarsanomys sodyi
Komodomys rintjanus
Papagomys armandvillei
Lamottemys okuensis
Oenomys hypoxanthus
Oenomys ornatus
Thamnomys kempi
Thamnomys venustus
Lemniscomys barbarus
Lemniscomys bellieri
Lemniscomys griselda
Lemniscomys hoogstraali
Lemniscomys linulus
Lemniscomys macculus
Lemniscomys mittendorfi
Lemniscomys rosalia
Lemniscomys roseveari
Lemniscomys striatus
Lenothrix canus
Leopoldamys edwardsi
Leopoldamys neilli
Leopoldamys sabanus
Leopoldamys siporanus
Malacomys cansdalei
Malacomys edwardsi
Malacomys longipes
Malacomys lukolelae
Malacomys verschureni
Mastomys angolensis
Mastomys coucha
Mastomys erythroleucus
Mastomys hildebrandtii
Mastomys natalensis
Mastomys pernanus
Mastomys shortridgei
Mastomys verheyeni
Maxomys alticola
Maxomys baeodon
Maxomys bartelsii
Maxomys dollmani
Maxomys hellwaldii
Maxomys hylomyoides
Maxomys inas
Maxomys inflatus
Maxomys moi
Maxomys musschenbroekii
Maxomys ochraceiventer
Maxomys pagensis
Maxomys panglima
Maxomys rajah
Maxomys surifer
Maxomys wattsi
Maxomys whiteheadi
